"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"ACAA2" 6.61769187738758 6.99766349793274 7.49248457622164 7.31331864773217 7.30520181081156 7.08281506419319 7.05383467920759 6.86658677353252 7.04437108123332 6.93153390745337 6.9886778684416 7.04134387514396 7.07262705445017 7.32959330204032 6.92684938825016 7.04696160198167 6.91290189895096 7.06822983505356 6.95037895782122 6.84570176278124 6.91482189867332 7.49419948916618 7.24122586967889 6.76709176844174 6.99968907243109 7.06996872013549 7.62663239557819 7.44097775488918 7.19999321248745 7.05764371260372 7.27818771396259 7.19690029336187 6.9514417427241 6.98554461511136 7.19570557539958 6.7637104380843 6.95072853985024 6.96909505201971 6.88933334851282 7.14657253935553
"ACACA" 7.19722035865203 7.72758733780617 7.41053724307829 7.16009122442219 7.6613272960751 7.70054779034018 6.95928670253971 7.1789240889008 7.59767148861195 7.04768816423882 7.58205632290319 7.62663239557819 7.25304008790505 7.2969132479346 7.57973544335659 7.42288272437449 6.94331219310804 7.6632211210088 6.98805470508684 7.39279691451775 7.12788633492102 7.22548079738936 7.70966508150079 7.05878039064589 6.91575113702736 7.56575695049024 7.41630081396212 7.64021984335815 7.51271894529138 7.49555876741905 7.60103811808241 7.65514641422944 7.65086213350818 7.56863786717431 7.59528687985096 7.6676068290205 7.6258656077353 7.74572892432156 7.80993216372952 7.60581296521175
"ACACB" 7.43990889039001 7.41902127850648 7.7583339854928 7.49419948916618 7.49980839494656 7.6348542251141 7.47598886702267 7.45077030728779 7.61717695260184 7.41630081396212 7.49465869986895 7.41630081396212 7.49373235560725 7.56907778527541 7.39169939085022 7.67950960597576 7.10773381173302 7.4554105986256 7.44184969784253 7.3078249436674 7.54414490224832 8.51412502242173 7.69818538038834 7.17329786701389 6.98073943614633 7.63187012415266 7.28670066211145 7.73420223268083 7.73823655580268 7.79077537493973 7.67345502678467 7.68215081712466 7.88605768110041 7.61041072504854 7.30952497824021 7.40668883723856 7.50952118685323 7.46792981786054 7.56385034688828 6.99531329144419
"ACAD8" 6.69789519560667 6.72014435750882 6.95037895782122 6.82195740909152 6.81394592798224 6.66996223983387 6.1829721928459 6.49505732495297 6.53882965653179 6.55239417823113 6.65617844575257 6.72014435750882 6.49878999013139 6.69716267491557 6.4666242878595 6.60030612282992 6.56686204459489 6.66640660848777 6.62763218824409 7.12544548002631 6.68250854003848 7.79975903696837 6.96844675081409 6.52170913128057 6.59596436310539 8.32766974476173 7.1789240889008 6.90392523005605 6.83893545955632 6.97622290192453 7.03110328417821 6.90883061879363 7.074155971278 6.80372260103613 6.10027875429814 6.48115409461225 6.71480217990199 6.68250854003848 7.10234310137345 7.34082562471671
"ACADL" 7.22331708370137 6.98519771425555 7.10451684906734 7.06934159986347 7.33390001880549 6.92177606852707 7.37165341344066 7.09225735014273 7.0296283006247 7.16499825318308 6.64917244088857 6.9886778684416 6.63896704022604 6.88065409017735 6.47706054742408 6.61116506862865 6.6605653702544 6.66313359028591 6.68887505992464 7.40266797534817 6.84149722027438 7.41256354800087 7.16206006567507 6.8224162638132 6.99407274914319 7.3017813584928 7.18306066299776 6.97066546505751 6.89921381159424 7.00864120663029 7.12597344728219 7.04008788714639 6.61971945622693 6.90214181062964 6.79044413815452 6.92140937751304 6.93190000139021 6.98073943614633 6.91202795616814 6.57033600334127
"ACADSB" 7.28843535221637 6.94971932967608 6.94496657812339 6.782424128388 7.02710518916837 7.20915406117929 7.27287480972706 7.24250033928645 7.32700272446947 7.28744141057429 6.99561383283564 7.10072457487507 7.07567732862028 7.1508495718306 7.16232164225163 7.26795058135308 7.23033913045091 6.92177606852707 7.46467378610189 6.86422119077861 6.75623412895531 7.01292168176747 7.37165341344066 6.57753391299187 5.82440520536062 7.1745075818441 7.60468419026125 7.66073527455048 7.1033688727922 7.10925581219791 7.15345247058627 7.20830163810072 7.34873454963593 7.1020987634372 6.5581008628355 7.14906630133479 7.08616597725586 6.97066546505751 6.81160167891193 7.28702369898192
"ACAN" 7.76490119774624 7.94942895795733 7.77934614013221 7.61548227614555 7.70775798916301 8.03290365695531 7.89728438641722 7.50189033584945 7.75748254031545 7.09167733546339 7.8916533847853 5.51613128071441 7.63896699810096 7.65575187593503 8.08094893281812 8.14953627894062 8.05655546262251 7.90144264234395 8.0305576850717 6.9774144855069 8.09310689568174 7.19008456361769 6.54163197085379 8.31265398478835 8.12595439231527 7.56958718066697 6.09123163512014 7.22756442148661 7.92254596573528 7.82194296805749 6.77638529730542 6.66143035659887 8.07548219141428 7.93528003040972 7.95487557157275 8.02810487292764 7.88322756956255 7.86442710762124 7.81752736813254 6.88223545671727
"ACAT1" 7.17674848672871 6.50773873399001 6.71275251793979 6.51831797833739 6.38126698712536 6.89443102139188 6.86139956926593 7.23992872565947 6.43784955599968 6.99036376569194 7.43625668360344 7.55975703177602 7.49419948916618 7.18921999750287 7.11303626691267 6.88663434200175 6.93647716353061 7.06849790950304 7.00960470291537 6.80277899508837 6.01327444393084 7.10015403648849 6.98841473022824 6.81765148353904 4.43197132406709 6.91123185679816 7.71433283805101 7.42137527926903 6.77576165311882 7.2740971128937 6.9814909704213 6.96909505201971 6.98673649725784 7.32392100859464 6.27858723023397 7.12031732496933 7.1020987634372 7.21888052986334 7.3089277781971 7.27720604987295
"ACD" 7.33920912489057 7.21312230830583 7.19854303483115 7.04696160198167 6.95807997274856 7.19690029336187 6.94608311525061 6.67827870150103 7.39808277554808 6.85129675971676 7.01577034092912 4.52236097915857 6.88574888058787 6.72581617727466 7.21250858774791 7.2195153733094 7.18541445439344 7.2352625743208 7.12088449781054 6.60905972326877 7.61717695260184 7.30484619466538 6.41683298882912 7.54009893806502 7.80391802356605 6.89167240264842 5.72785454165873 6.28238835892487 7.15318042885094 7.0964454131173 6.45553802403762 6.41185090174594 6.74698110407393 7.0858431617123 7.04067569870324 6.94221426348306 7.03358209334098 6.98711055699979 6.90104439738698 7.55738836104301
"ACER1" 7.51444728737085 7.46958119748138 7.59585948336918 7.52912588959243 7.40228096999167 7.58155950458896 7.7325531010532 7.70054779034018 7.51487796467245 7.93902651395212 7.44606203383555 7.46337177930602 7.56430630916982 7.49122596964634 7.54650372978674 7.59042837846247 7.66013520655446 7.52061873043239 7.77847406032175 7.50681288752329 7.4550339720648 7.54141942930723 7.79741623803138 7.18451244059896 6.84662515711405 7.65636487650178 7.81866263346304 7.83523897964729 7.78779612938411 7.49465869986895 7.70223341740899 7.73823655580268 7.63959532623287 7.58781496102899 7.32102666401016 7.53103021659001 7.55834141500111 7.48619157575268 7.53881105095424 6.76037169842054
